COD_MUNICIPIO,MUNICIPIO,DEPARTAMENTO
10101,SUCRE,CHUQUISACA
10102,YOTALA,CHUQUISACA
10103,POROMA,CHUQUISACA
10201,AZURDUY,CHUQUISACA
10202,TARVITA,CHUQUISACA
10301,ZUDAÑEZ,CHUQUISACA
10302,PRESTO,CHUQUISACA
10303,MOJOCOYA,CHUQUISACA
10304,ICLA,CHUQUISACA
10401,PADILLA,CHUQUISACA
10402,TOMINA,CHUQUISACA
10403,SOPACHUY,CHUQUISACA
10404,ALCALA,CHUQUISACA
10405,EL VILLAR,CHUQUISACA
10501,MONTEAGUDO,CHUQUISACA
10502,HUACARETA,CHUQUISACA
10601,TARABUCO,CHUQUISACA
10602,YAMPARAEZ,CHUQUISACA
10701,CAMARGO,CHUQUISACA
10702,SAN LUCAS,CHUQUISACA
10703,INCAHUASI,CHUQUISACA
10704,VILLA CHARCAS,CHUQUISACA
10801,VILLA SERRANO,CHUQUISACA
10901,CAMATAQUI (C. VILLA ABECIA),CHUQUISACA
10902,CULPINA,CHUQUISACA
10903,LAS CARRERAS,CHUQUISACA
11001,VILLA VACA GUZMAN (MUYUPAMPA),CHUQUISACA
11002,HUACAYA (VILLA DE HUACAYA),CHUQUISACA
11003,MACHARETI,CHUQUISACA
20101,LA PAZ,LA PAZ
20102,PALCA,LA PAZ
20103,MECAPACA,LA PAZ
20104,ACHOCALLA,LA PAZ
20105,EL ALTO,LA PAZ
20201,ACHACACHI,LA PAZ
20202,ANCORAIMES,LA PAZ
20203,CHUA COCANI,LA PAZ
20204,HUARINA,LA PAZ
20205,SANTIAGO DE HUATA,LA PAZ
20206,HUATAJATA,LA PAZ
20301,CORO CORO,LA PAZ
20302,CAQUIAVIRI,LA PAZ
20303,CALACOTO,LA PAZ
20304,COMANCHE,LA PAZ
20305,CHARAÑA,LA PAZ
20306,WALDO BALLIVIAN,LA PAZ
20307,NAZACARA DE PACAJES,LA PAZ
20308,SANTIAGO DE CALLAPA,LA PAZ
20401,PUERTO ACOSTA,LA PAZ
20402,MOCOMOCO,LA PAZ
20403,PUERTO CARABUCO,LA PAZ
20404,HUMANATA,LA PAZ
20405,ESCOMA,LA PAZ
20501,CHUMA,LA PAZ
20502,AYATA,LA PAZ
20503,AUCAPATA,LA PAZ
20601,SORATA,LA PAZ
20602,GUANAY,LA PAZ
20603,TACACOMA,LA PAZ
20604,QUIABAYA,LA PAZ
20605,COMBAYA,LA PAZ
20606,TIPUANI,LA PAZ
20607,MAPIRI,LA PAZ
20608,TEOPONTE,LA PAZ
20701,APOLO,LA PAZ
20702,PELECHUCO,LA PAZ
20801,VIACHA,LA PAZ
20802,GUAQUI,LA PAZ
20803,TIAWANACU,LA PAZ
20804,DESAGUADERO,LA PAZ
20805,SAN ANDRES DE MACHACA,LA PAZ
20806,JESUS DE MACHACA,LA PAZ
20807,TARACO,LA PAZ
20901,LURIBAY,LA PAZ
20902,SAPAHAQUI,LA PAZ
20903,YACO,LA PAZ
20904,MALLA,LA PAZ
20905,CAIROMA,LA PAZ
21001,INQUISIVI,LA PAZ
21002,QUIME,LA PAZ
21003,CAJUATA,LA PAZ
21004,COLQUIRI,LA PAZ
21005,ICHOCA,LA PAZ
21006,LICOMA PAMPA,LA PAZ
21101,CHULUMANI (V. DE LA LIBERTAD),LA PAZ
21102,IRUPANA (VILLA DE LANZA),LA PAZ
21103,YANACACHI,LA PAZ
21104,PALOS BLANCOS,LA PAZ
21105,LA ASUNTA,LA PAZ
21201,PUCARANI,LA PAZ
21202,LAJA,LA PAZ
21203,BATALLAS,LA PAZ
21204,PUERTO PEREZ,LA PAZ
21301,SICA SICA (VILLA AROMA),LA PAZ
21302,UMALA,LA PAZ
21303,AYO AYO,LA PAZ
21304,CALAMARCA,LA PAZ
21305,PATACAMAYA,LA PAZ
21306,COLQUENCHA,LA PAZ
21307,COLLANA,LA PAZ
21401,COROICO,LA PAZ
21402,CORIPATA,LA PAZ
21501,IXIAMAS,LA PAZ
21502,SAN BUENA VENTURA,LA PAZ
21601,GRAL. J.J. PEREZ (CHARAZANI),LA PAZ
21602,CURVA,LA PAZ
21701,COPACABANA,LA PAZ
21702,SAN PEDRO DE TIQUINA,LA PAZ
21703,TITO YUPANQUI (PARQUIPUJIO),LA PAZ
21801,SAN PEDRO DE CURAHUARA,LA PAZ
21802,PAPEL PAMPA,LA PAZ
21803,CHACARILLA,LA PAZ
21901,SANTIAGO DE MACHACA,LA PAZ
21902,CATACORA,LA PAZ
22001,CARANAVI,LA PAZ
22002,ALTO BENI,LA PAZ
22004,HUMANATA,LA PAZ
30101,COCHABAMBA,COCHABAMBA
30201,AIQUILE,COCHABAMBA
30202,PASORAPA,COCHABAMBA
30203,OMEREQUE,COCHABAMBA
30301,AYOPAYA (V. DE INDEPENDENCIA),COCHABAMBA
30302,MOROCHATA,COCHABAMBA
30303,COCAPATA,COCHABAMBA
30401,TARATA,COCHABAMBA
30402,ANZALDO,COCHABAMBA
30403,ARBIETO,COCHABAMBA
30404,SACABAMBA,COCHABAMBA
30501,ARANI,COCHABAMBA
30502,VACAS,COCHABAMBA
30601,ARQUE,COCHABAMBA
30602,TACOPAYA,COCHABAMBA
30701,CAPINOTA,COCHABAMBA
30702,SANTIVAÑES,COCHABAMBA
30703,SICAYA,COCHABAMBA
30801,CLIZA,COCHABAMBA
30802,TOCO,COCHABAMBA
30803,TOLATA,COCHABAMBA
30901,QUILLACOLLO,COCHABAMBA
30902,SIPE SIPE,COCHABAMBA
30903,TIQUIPAYA,COCHABAMBA
30904,VINTO,COCHABAMBA
30905,COLCAPIRHUA,COCHABAMBA
31001,SACABA,COCHABAMBA
31002,COLOMI,COCHABAMBA
31003,VILLA TUNARI,COCHABAMBA
31101,TAPACARI,COCHABAMBA
31201,TOTORA(CBBA),COCHABAMBA
31202,POJO (CBBA),COCHABAMBA
31203,POCONA,COCHABAMBA
31204,CHIMORE,COCHABAMBA
31205,PUERTO VILLARROEL,COCHABAMBA
31206,ENTRE RIOS CBBA,COCHABAMBA
31301,MIZQUE,COCHABAMBA
31302,VILA VILA,COCHABAMBA
31303,ALALAY,COCHABAMBA
31304,RAQAYPAMPA(ETA),COCHABAMBA
31401,PUNATA,COCHABAMBA
31402,VILLA RIVERO,COCHABAMBA
31403,SAN BENITO,COCHABAMBA
31404,TACACHI,COCHABAMBA
31405,CUCHUMUELA (V. G. VILLARROEL),COCHABAMBA
31501,BOLIVAR,COCHABAMBA
31601,TIRAQUE (CBBA),COCHABAMBA
31602,SHINAOTA,COCHABAMBA
40101,ORURO,ORURO
40102,CARACOLLO,ORURO
40103,EL CHORO,ORURO
40104,SORACACHI,ORURO
40201,CHALLAPATA,ORURO
40202,SANTUARIO DE QUILLACAS,ORURO
40301,CORQUE,ORURO
40302,CHOQUE COTA,ORURO
40401,CURAHUARA DE CARANGAS,ORURO
40402,TURCO,ORURO
40501,HUACHACALLA,ORURO
40502,ESCARA,ORURO
40503,CRUZ DE MACHACAMARCA,ORURO
40504,YUNGUYO DE LITORAL,ORURO
40505,ESMERALDA,ORURO
40601,POOPO,ORURO
40602,PAZÑA,ORURO
40603,ANTEQUERA,ORURO
40701,HUANUNI,ORURO
40702,MACHACAMARCA,ORURO
40801,SALINAS DE GARCI MENDOZA,ORURO
40802,PAMPA AULLAGAS,ORURO
40901,SABAYA,ORURO
40902,COIPASA,ORURO
40903,CHIPAYA,ORURO
41001,TOLEDO,ORURO
41101,EUCALIPTUS,ORURO
41201,ANDAMARCA,ORURO
41202,BELEN DE ANDAMARCA,ORURO
41301,TOTORA(ORR),ORURO
41401,SANTIAGO DE HUARI,ORURO
41501,LA RIVERA,ORURO
41502,TODOS SANTOS,ORURO
41503,CARANGAS,ORURO
41601,HUAYLLAMARCA,ORURO
50101,POTOSI,POTOSI
50102,TINGUIPAYA,POTOSI
50103,YOCALLA,POTOSI
50104,BELEN DE URMIRI,POTOSI
50201,UNCIA,POTOSI
50202,CHAYANTA,POTOSI
50203,LLALLAGUA,POTOSI
50204,CHUQUIHUTA AYLLU JUCUMANI,POTOSI
50301,BETANZOS,POTOSI
50302,CHAQUI,POTOSI
50303,TACOBAMBA,POTOSI
50401,COLQUECHACA,POTOSI
50402,RAVELO,POTOSI
50403,POCOATA,POTOSI
50404,OCURI,POTOSI
50405,SAN PEDRO DE MACHA,POTOSI
50501,SAN PEDRO DE BUENA VISTA,POTOSI
50502,TORO TORO,POTOSI
50601,COTAGAITA,POTOSI
50602,VITICHI,POTOSI
50701,SACACA,POTOSI
50702,CARIPUYO,POTOSI
50801,TUPIZA,POTOSI
50802,ATOCHA,POTOSI
50901,"COLCHA ""K""",POTOSI
50902,SAN PEDRO DE QUEMES,POTOSI
51001,SAN PABLO DE LIPEZ,POTOSI
51002,MOJINETE,POTOSI
51003,SAN ANTONIO DE ESMORUCO,POTOSI
51101,PUNA,POTOSI
51102,"CAIZA ""D""",POTOSI
51103,CKOCHAS,POTOSI
51201,UYUNI,POTOSI
51202,TOMAVE,POTOSI
51203,PORCO,POTOSI
51301,ARAMPAMPA,POTOSI
51302,ACACIO,POTOSI
51401,LLICA,POTOSI
51402,TAHUA,POTOSI
51501,VILLAZON,POTOSI
51601,SAN AGUSTIN,POTOSI
60101,TARIJA,TARIJA
60201,PADCAYA,TARIJA
60202,BERMEJO,TARIJA
60301,YACUIBA,TARIJA
60302,CARAPARI,TARIJA
60303,VILLA MONTES,TARIJA
60401,URIONDO (A. CONCEPCION),TARIJA
60402,YUNCHARA,TARIJA
60501,SAN LORENZO(TJA),TARIJA
60502,EL PUENTE(TJA),TARIJA
60601,ENTRE RIOS TRJ,TARIJA
70101,SANTA CRUZ DE LA SIERRA,SANTA CRUZ
70102,COTOCA,SANTA CRUZ
70103,PORONGO,SANTA CRUZ
70104,LA GUARDIA,SANTA CRUZ
70105,EL TORNO,SANTA CRUZ
70201,WARNES,SANTA CRUZ
70202,OKINAWA,SANTA CRUZ
70301,SAN IGNACIO DE VELASCO,SANTA CRUZ
70302,SAN MIGUEL DE VELASCO,SANTA CRUZ
70303,SAN RAFAEL,SANTA CRUZ
70401,BUENA VISTA,SANTA CRUZ
70402,SAN CARLOS,SANTA CRUZ
70403,YAPACANI,SANTA CRUZ
70404,SAN JUAN DE YAPACANI,SANTA CRUZ
70501,SAN JOSE DE CHIQUITOS,SANTA CRUZ
70502,PAILON,SANTA CRUZ
70503,ROBORE,SANTA CRUZ
70601,PORTACHUELO,SANTA CRUZ
70602,SANTA ROSA DEL SARA,SANTA CRUZ
70603,COLPA BELGICA,SANTA CRUZ
70701,LAGUNILLAS,SANTA CRUZ
70702,CHARAGUA,SANTA CRUZ
70703,CABEZAS,SANTA CRUZ
70704,CUEVO,SANTA CRUZ
70705,GUTIERREZ,SANTA CRUZ
70706,CAMIRI,SANTA CRUZ
70707,BOYUIBE,SANTA CRUZ
70801,VALLEGRANDE,SANTA CRUZ
70802,TRIGAL,SANTA CRUZ
70803,MORO MORO,SANTA CRUZ
70804,POSTRER VALLE,SANTA CRUZ
70805,PUCARA,SANTA CRUZ
70901,SAMAIPATA,SANTA CRUZ
70902,PAMPA GRANDE,SANTA CRUZ
70903,MAIRANA,SANTA CRUZ
70904,QUIRUSILLAS,SANTA CRUZ
71001,MONTERO,SANTA CRUZ
71002,GENERAL SAAVEDRA,SANTA CRUZ
71003,MINEROS,SANTA CRUZ
71004,FERNANDEZ ALONSO,SANTA CRUZ
71005,SAN PEDRO,SANTA CRUZ
71101,CONCEPCION,SANTA CRUZ
71102,SAN JAVIER(STC),SANTA CRUZ
71103,SAN RAMON SCZ,SANTA CRUZ
71104,SAN JULIAN,SANTA CRUZ
71105,SAN ANTONIO DE LOMERIO,SANTA CRUZ
71106,CUATRO CAÑADAS,SANTA CRUZ
71201,SAN MATIAS,SANTA CRUZ
71301,COMARAPA,SANTA CRUZ
71302,SAIPINA,SANTA CRUZ
71401,PUERTO SUAREZ,SANTA CRUZ
71402,PUERTO QUIJARRO,SANTA CRUZ
71403,CARMEN RIVERO TORREZ,SANTA CRUZ
71501,ASCENCION DE GUARAYOS,SANTA CRUZ
71502,URUBICHA,SANTA CRUZ
71503,EL PUENTE(STC),SANTA CRUZ
80101,TRINIDAD,BENI
80102,SAN JAVIER(BNI),BENI
80201,RIBERALTA,BENI
80202,GUAYARAMERIN,BENI
80301,REYES,BENI
80302,SAN BORJA,BENI
80303,SANTA ROSA,BENI
80304,RURRENABAQUE,BENI
80401,SANTA ANA,BENI
80402,EXALTACION,BENI
80501,SAN IGNACIO,BENI
80601,LORETO,BENI
80602,SAN ANDRES,BENI
80701,SAN JOAQUIN,BENI
80702,SAN RAMON,BENI
80703,PUERTO SILES,BENI
80801,MAGDALENA,BENI
80802,BAURES,BENI
80803,HUARACAJE,BENI
90101,COBIJA,PANDO
90102,PORVENIR,PANDO
90103,BOLPEBRA,PANDO
90104,BELLA FLOR,PANDO
90201,PUERTO RICO,PANDO
90202,SAN PEDRO(PND),PANDO
90203,FILADELFIA,PANDO
90301,PUERTO GONZALO MORENO,PANDO
90302,SAN LORENZO(PND),PANDO
90303,SENA,PANDO
90401,NACEBE (SANTA ROSA DEL ABUNA),PANDO
90402,INGAVI (HUMAITA),PANDO
90501,NUEVO MANOA (NUEVA ESPERANZA),PANDO
90502,VILLA NUEVA (LOMA ALTA),PANDO
90503,EUREKA (SANTOS MERCADO),PANDO
